date,SM,P_cm,PET_cm,LST,LAI,Sand,Silt,Clay,BD
2006/1/1,0.0072,8.52E-05,0.77125,1,0.5,0.665,0.228,0.107,1.48
2006/1/2,0.007345833,8.64E-05,0.773125,1,0.45,0.665,0.228,0.107,1.48
2006/1/3,0.00725,0.000172257,0.775,1,0.4,0.665,0.228,0.107,1.48
2006/1/4,0.00725,0,0.776875,1,0.35,0.665,0.228,0.107,1.48
2006/1/5,0.007491667,4.35E-05,0.77875,1,0.3,0.665,0.228,0.107,1.48
2006/1/6,0.008116667,8.52E-05,0.780625,1,0.325,0.665,0.228,0.107,1.48
2006/1/7,0.008691667,8.52E-05,0.7825,1,0.35,0.665,0.228,0.107,1.48
2006/1/8,0.008520833,4.26E-05,0.784375,1,0.375,0.665,0.228,0.107,1.48
2006/1/9,0.007916667,0.000129045,0.78625,1,0.4,0.665,0.228,0.107,1.48
2006/1/10,0.007383333,0.000128891,0.79078125,1,0.4,0.665,0.228,0.107,1.48
2006/1/11,0.007808333,8.52E-05,0.7953125,1,0.4,0.665,0.228,0.107,1.48
2006/1/12,0.007708333,0.000128746,0.79984375,1,0.4,0.665,0.228,0.107,1.48
2006/1/13,0.007675,4.35E-05,0.804375,1,0.4,0.665,0.228,0.107,1.48
2006/1/14,0.007504167,0,0.80890625,1,0.425,0.665,0.228,0.107,1.48
2006/1/15,0.007316667,8.52E-05,0.8134375,1,0.45,0.665,0.228,0.107,1.48
2006/1/16,0.007354167,0.00017144,0.81796875,1,0.475,0.665,0.228,0.107,1.48
2006/1/17,0.008741667,0.00069348,0.8225,1,0.5,0.665,0.228,0.107,1.48
2006/1/18,0.009566667,0.027813315,0.819375,1,0.475,0.665,0.228,0.107,1.48
2006/1/19,0.008970833,6.85E-05,0.81625,1,0.45,0.665,0.228,0.107,1.48
2006/1/20,0.009233333,8.52E-05,0.813125,1,0.425,0.665,0.228,0.107,1.48
2006/1/21,0.0088625,0,0.81,1,0.4,0.665,0.228,0.107,1.48
2006/1/22,0.008075,0,0.806875,1,0.45,0.665,0.228,0.107,1.48
2006/1/23,0.006929167,0,0.80375,1,0.5,0.665,0.228,0.107,1.48
2006/1/24,0.0063875,0,0.800625,1,0.55,0.665,0.228,0.107,1.48
